女书字符	汉字	《字帖》序	土话代表发音	图片散列值（Hash）	备注
𛇳	华回费	131	fw42	fd1c4642d1b3bc27204102e8d39686c4	
𛇴	曾侄色塞是始使适宿	135	sw5	190b0f4f5fcd5a6f57f3340804408d1e	
𛇵	滑葛割物	132	kw5	634cfc380279edbb7940dbba7230966c	
𛇶	开孩害	133	hw44	736e0aab89e5101f5a4e6656818f3c38	
𛇷	门民毛眉闻	134	mai42	ab5f3a667cc0ca93fad3248305f96af5	
𛇸	吞	136	thai44	1d3cea84dfb141b489c86f7bbd1a9797	
𛇹	辛心新森	137	sai44	20ea29ea0bb71516eb7dd79680b7e31b	
𛇺	悯心新	138	sai44	69812633498586be895540c1be074c2f	
𛇻	讨	139	thau35	6671d1f60a4ff6709bcf0fb6534e1316	
𛇼	老到倒斗道稻凳汪	140	lau21	8458363d77c79d0727d3b5c96c6bce22	
𛇽	老到凳	112	lau21	9598a7019a2dc03240a7ef8565c8f575	
𛇾	明名鸣哪抛	114	nou33	0e8f5bfa4c519092156966943d3b8093	
𛇿	阁搁罐	141	kou33	126cec3940e84afe15d57563107e43c3	
𛈀	休收岸	142	ciou44	99a4ef5402205702d6fe2e0a2848dff3	
𛈁	吵所锁	143	sew35	cba08f4daf9672dbb9433f28d1272a72	
𛈂	落洛丹多单	144	lew44	7bfe4a81061959b0885bf74e583ee65b	
𛈃	炭	145	thuow21	a7738571d9273a3c79ad5d9d546a38be	
𛈄	万湾弯	146	uow33	facbe458e0a3a473213ad9c3e33a5968	
𛈅	甲嘉价国隔格寡股果滚	147	kuw5	c7207632a7fc28362282e4dac4ba0cd6	
𛈆	传程呈缠全权泉乾拳	149	tcyn42	57bd5c063ee2d4be423c8a1d0ba4c623	
𛈇	映院苑影	150	yn35	7d903bd86168218164d536ec23dfb164	
𛈈	忘望枉妄汪	151	vang33	abd8c5b6c2b0a26754f7866dcab96010	
𛈉	床藏庄妆装宗桩状撞浅	152	tsang44	301641a85516696c41cec2098de2e14a	
𛈊	栅双霜桑酸丧	153	sang44	38d29f1b48d70f57bb183365b569a135	
𛈋	孔	155	khang35	a1d8365e3bae815018a256026041ec37	
𛈌	中章终张忠专涨樟江姜疆恭宫刚钢公共供弓	154	tciang44	5a7ba656d2bfd8b58a440090788fa794	
𛈍	用养样央让	156	iang13	740be35ad19f814d5c3b8b70c973ce4a	
𛈎	垫田	157	teng42	094863f3fa56621c6000eb957b03ddf8	
𛈏	念闹怒哪内侬炼练联验砚艳研	158	neng33	dc83bc7a780382ebe91b7a9c772539c1	
𛈐	病兵篇拼	159	piong33	ec44f42b02b1a36486810ec051237dc9	
𛈑	命	160	miong33	8d1a06c7bf5e5da6978ca487f24031c7	
𛈒	成城诚船悬凡盛	161	ciong42	005fab8d3044c16368bbc95b02377243	
𛈓	圣	162	ciong21	b4ce1d14e147be5c6be0f11d975ec88b	
𛈔	言然	163	njing42	b6cae1a1978741fb0d933503b476c0f3	
𛈕	暗案邀颜岩硬五碗我位	164	ng13	7211930e653c759b61f311ab35524ee7	
𛈖	早姊走澡盏者	165	tsa35	e5bc0cb8417030f2b68a94347019e36d	
𛈗	四散晒瘦扫	166	sa21	bd430410663e1150df59195c6d00a81a	
𛈘	归规龟关	167	kua44	f8c5a902ee0ea50af80dbc54423d2fca	
𛈙	鬼癸诡	168	kua35	246caad9919d283c5bfc71b7c37b55dc	
𛈚	出	59	cya5	495e196939b6cbc8cbf439ddba680771	
𛈛	兴申身深升伸剩	170	cie44	00fb419282c852a1aaf330c5bb9fd8b7	
𛈜	派	171	phoe35	ecb47f576ad340b43dfd201a2743efb1	
𛈝	怀	172	foe42	6d7c8790eef9e1ef0822ce5366f1993d	
𛈞	辣俫	173	loe35	b173533bf9f4d43ef7db7202730d12c5	
𛈟	猜差	182	tshoe44	ecabc7bdbef2d8c4d7e8433f6ecec8f2	
𛈠	菜蔡	174	tshoe21	08a272be4cb45b297aa45c8985ce6741	
𛈡	衣	175	oe44	5054bb330f81a694d8c91017f4bd4a3f	
𛈢	扯蠢托拖牵	211	tchye35	7e6f24a7656deae25a68f611a452144d	
𛈣	蝦夏花话灰悔画	176	fwe44	0ecb3e20e440d642c2a740b09ac7bfed	
𛈤	自字之枝脂姿滋兹支只贼制则寺	177	tswe33	fc934f7208f6387916faeb4cdfde136a	
𛈥	逆孽泥业热	169	ni33	d8b4703fddb78e0944c68241714b4c41	
𛈦	切	178	tshi5	b1ec34e457b76d2a935448ff751b5b38	
𛈧	妾	179	tshi5	c585c4c77ea3c51c4d895c9ccd7b88be	
𛈨	西犀消肖宵逍毫妻凄	180	si44	bdcaf5c55de9ed899c9dd106a1af631b	
𛈩	合喝服伏付赴务	181	fu33	6f49147d83bfc5a21c32acd8560c1441	
𛈪	我瓦	183	ngu13	d69d62dcc5063e830d6cbd319a44ee79	
𛈫	处	185	tchyu21	e349c89f86cded851710a4c121434cd5	
𛈬	书输舒树赎粟	184	cyu44	92632b5df76425918687027f2e87d327	
𛈭	譬佩迫配	186	phw21	3ccd70bdde708794475c2101faa91172	
𛈮	魂坟	187	fai42	8a020a1354dd848d5d26d57d87f9e6a5	
𛈯	长重皂尽进祭讲	188	tsai13	83bfea89275dfc49db2be4d7304808ff	
𛈰	牛楼劳	189	lou42	a6bdc1c1eea75f172176048135b3abc5	
𛈱	座浊昨作	192	tsou5	44ed5b9556f8d6b4ae67da0d6e7e7fb9	
𛈲	包胞剥饱抛	190	piou44	4d0e9d974bcbea731a8b84e71a3e6308	
𛈳	茅卯苗酉	191	miou13	f9864888ec2be2e160810efbf25cd81c	
𛈴	臭	193	tchiou21	a4e69743ea1307c69bea050bda22f33b	
𛈵	肉	194	njiou33	1933f16c771b4e3fd7ad84e740341991	
𛈶	酉有友幼与	195	iou13	426a5dc5819214131face4f2c3e520a7	
𛈷	难能	198	nuow42	a874ce45794518a8094d2ea8c2c7f3a1	
𛈸	间更耕	197	kuow44	00262e1b17f526a57815c06bd4d05910	
𛈹	喊	196	huow21	7f263f18c0344fc58b91051968cf91dd	
𛈺	半般帮搬伴啄饭放判胖	200	pang44	2b2ab148ce30433659bd44936e055dc7	
𛈻	你恼	202	ang21	4b3eaef4263eb8f5d801d019dc2fc495	
𛈼	像相纵丈将浆蒋匠	205	tsiang44	5fd8ae899b1a91ee9f8bd8d50111ef50	
𛈽	长从详祥墙	204	tsiang42	531d88e0833120eae7eb897a4abaf9e6	
𛈾	暖常尝偿雄熊裳	199	ciang42	1500d50d612208b72358c9f19a9356d8	
𛈿	阳羊杨扬洋容蓉绒融	206	iang42	6f7bee5e87315123bdf01f046a4947ff	
𛉀	宁灵零龄论	209	liong42	5eb19ae2457b117772e20e3c7dbc336e	
𛉁	请	207	tshiong35	e0628de56ebe6dd458a9500b435fa4b7	
𛉂	兄声	208	ciong44	2a55698e147eac055c1165f1c63446dd	
𛉃	显险掀现扇	210	cing35	f78a7ca83e038fd060d243086a30b22f	
𛉄	里理鲤李履懒裹旦	212	la13	ffa0207a5113bfbba29db95a385e0aa6	
𛉅	垂婿卷谁诉数睡述随虽	213	cya42	9156d891e775921e79b21711a3e1d7c1	
𛉆	排匹	214	poe42	3176f4f0a67fa3afd2bb167c8753fdab	
𛉇	胎	216	thoe44	4fe8792cf8fa06a68e828e7dc52fefed	
𛉈	哪奈耐挪	215	noe33	a6d5865785f0ac15f172d743063ff216	
𛉉	钗差缠卷捐乾	271	tshoe44	aa363f4bde92f44d72da99733b4a0e2e	
𛉊	宅助家加佳瓜	217	kue44	260616978ae8d31fbab5d246b80ccb0b	
𛉋	假价驾寡	218	kue35	79d4486bab77a3205e1e24254cc90007	
𛉌	揩嫁架价街皆阶挂怪卦乖	219	kue21	dc6ab277fd3a8997d22147cf7da75dff	
𛉍	爹云爷匀乌污	220	ye42	17d52cf45d559bc200e2b43510b71819	
𛉎	比彼把宝保板壁被婢摆榜扳	221	pwe35	ee451849533efc911e710eb838438f45	
𛉏	哑	222	vwe35	7c86f869dd1ccdf9b34d73a6cdfc2e30	
𛉐	铁踢贴	224	thi5	6cabbc935cab5f59b596f435b3f32cbc	
𛉑	层蚕采赠斋尽进调齐樵	226	tsi42	2924e1eb729e7ac3e7e84203e01c8609	
𛉒	残惨祭娇济秦齐	225	tsi42	541c0dc6337a529b0d8bb4630a1d2b0a	
𛉓	绪制照兆赵站植占注计记季寄跽继既叫及忌纪桂直	227	tci21	0f6117e3eaa4fe79f1455df0aac5c1d9	
𛉔	照赵种记寄	228	tci21	8776b5e0f43ec68a2fdd5933540a3598	
𛉕	跳剃替	229	tshiu21	15dd38f5a66554eded4abc4fb04a52b4	
𛉖	步薄抱部玻晡布博补夫腹甫婆蒲破铺扑	230	pu33	71f690fbdee18a4f5db6a4ae913b7d8d	
𛉗	茶查锄搽	232	tsu42	ae67ac21d9779595956bd8877261fbc0	
𛉘	逼辣癞赖更顾告过故盖的推	233	ku21	3e30f8ca06604f8b5e81538a6832f5a7	
𛉙	珠朱拄具	234	tcyu44	fd1b35a08b4efa621b3e7f5810c1eee0	
𛉚	玉欲窝往	235	njyu33	197ce2d859c9e76b78cc4fca464efcd6	
𛉛	处娶取岂启	236	tchy35	3fd610afca7ab711d255b5b7dcfabfb4	
𛉜	北拔	237	pw5	b08c41856331c616dc4bde532f94dc27	
𛉝	扯海害笋舍损耍舜捨	238	hw35	b3140028af6eed7dd4a622d60340fe39	
𛉞	品	239	phai35	f4124effc266956d3a1d4c8b0c55e029	
𛉟	慢孟米莫麦每蜜眯庙妙买谋与问	240	mai33	7fa8100715e9ceab2d5660bb833cefd9	
𛉠	等	241	lai35	e227a463f30ae48fb896ba9fe6ebf055	
𛉡	信讯送宋	242	sai21	a7383bbb4fb3d1e025dc6f5e72a33d57	
𛉢	红洪鸿	243	hai42	56fc4ab5ec8c7d77a730fe56ce353e1b	
𛉣	冒帽	245	mau33	fa01ef84c62e2d31159e83057a5f9919	
𛉤	草吵炒楚套	244	tshau35	b358867781030525d3c60f996b7955e8	
𛉥	号	300	hau33	0adc04f90fe1b4c12267e9d5e24be4bf	
𛉦	喝个各阁搁恶	246	kou5	6dc469bad5336990458aee80496ebca4	
𛉧	欧	302	ou44	125798109b4b64733a4c955a39a2008a	
𛉨	绸袖总坤就共	247	tsiou33	7d06d2a649becf71c5a9f36b07fbe9ea	
𛉩	畜秋	248	tshiou44	212db0717b789988bba80ecb30748115	
𛉪	羞修	249	siou44	114321ec5d53b1c4a181b4fcdde2bc1c	
𛉫	粥祝角觉	250	tciou5	a8ddd2d31f441442c8f5162ab763ddbd	
𛉬	仇酬效校孝学寿受授熟	252	ciou13	64ba581fb0fb7466fe11575ff43718a0	
𛉭	通滩	253	thuow44	e645ba0d18ee508339c43eebaef90a3e	
𛉮	奉放	254	fang13	fab65587b65df1caa9e81429dcfa6b48	
𛉯	窝亡枉	255	vang5	14874909dd0928ca8e8a61def1793a72	
𛉰	当端	256	lang44	0852687f58f0de5f0b6811aa8aa5ad1a	
𛉱	聪窗餐仓苍葬枪迁腔抢	257	tshang44	2a96701f65ec37deb7d74f627c46ae69	
𛉲	空康宽堪	259	khang44	3f34c3a22a8b376aaf3e4dbc8008f8d9	
𛉳	砍	258	khang5	51d13353880c2109146e4f334e6145cd	
𛉴	良粮龙凉梁粱隆亮量	260	liang42	6449a9ef47cbe382a906530f787a76d4	
𛉵	凑相箱镶湘厢松	203	siang44	a4ba51fd83a192e778144ce6705ba793	
𛉶	香乡胸伤商尚	261	ciang44	cf0a58543d2abcdcdc5a52b46b040d2d	
𛉷	响享	314	ciang35	1f6556c1a43625da435eaa0d6d237a8b	
𛉸	念点典	262	neng35	fad8352a448b0728f94f8dfed5f63240	
𛉹	线连莲	263	leng42	82e58bb2ac550a091e0b2e47bb10448f	
𛉺	男南	264	nong42	d1fc7c529c3efc22be974be8b32e7a1e	
𛉻	胆但担坦	265	long35	ee0fd21fb25615a77df17aa0adfca474	
𛉼	宁冷岭领另令灵龄零丁钉	266	liong13	bbf897720f7406b82ab93e70a160cd48	
𛉽	静净精睛定	267	tsiong13	49a7cebbd50052fd938c8c435621739d	
𛉾	参星姓性簪	269	siong44	fd6426e9d7b2ba43b7377163aaf67116	
𛉿	占经坚兼肩	270	tcing44	6eb24ce7fbfa98b654442041ca6eeda0	
𛊀	缠展沾捡	272	tcing44	081379082611758094421af9e59ef7be	
𛊁	贤嫌形刑	273	cing42	ad96df31fea9d058d07c6a44e3a414aa	
𛊂	你燕咽	274	ing21	2b6aa8b185d49a0fd753e15830b24993	
𛊃	磨安鞍庵嗯饿碗误	275	ng44	777a164c3b0e3ba08c449297989e2529	
𛊄	为唯围微违维伪	276	va42	b65d56638f0a8a19e91a60019b4712f8	
𛊅	坐做作死	277	sa35	c4b5836654fdc35ba2dffeb46132f7f8	
𛊆	雷	278	lie42	c1c6aafb16153b8746a46f331cc66458	
𛊇	退	279	tshie21	4e28b97e135b3e692b0b4a5d05e02d82	
𛊈	昔惜锡积绩借	280	sie5	87d9b82d2b0c830296a3da6a6b906945	
𛊉	吃引应任我	281	ie13	145c071e21c919de36a322968835b6b4	
𛊊	买嬷埋奶尾萎	282	moe13	ab877a9464c851189b76ca209d4d0be7	
𛊋	捉带	283	loe21	f8fccbcf264e74a716a82312df382a81	
𛊌	春村车撑	284	tchye44	d2ebcd331aa0885960527449d62650f3	
𛊍	靴逊训孙石顺射社舍赦笋停	223	cye44	5984d9671faa847185dbfb731ed2e3de	
𛊎	别离厘篱璃罗	285	pi33	5f32c441aaf90fe03a9537aa09a14577	
𛊏	梯	286	ti44	7797dda94b53d3fda3d9c5a569606ed7	
𛊐	吸职折织执酌汁吉结急级击劫洁脚菊决	287	tci5	abb39cdfbe4aa9abff22e8200958569c	
𛊑	皱焦蕉椒	297	tsiu44	c009043f8e35347f7d9b9445d62d5d27	
𛊒	腹斧	231	pu5	f8b389d7dbd93f1025ea49ae3405539c	
𛊓	祸妇富附负	288	fu21	9cda87aa6df4382cee06837da173089c	
𛊔	土塔	289	thu35	d34b3dfa4dcad0ba958be8280cb8d80b	
𛊕	匣河喊	290	hu42	efd6d26fa189c5df8edd466bde83a2b8	
𛊖	著着惧借菌祀	291	tcy13	5553c012179fe5dc3479efc7788ef2da	
𛊗	雪血歇硕设识室	292	cy5	604b87d885cb6c4500f7ae8f8f42ac0b	
𛊘	逢浮朋陪贫蓬盆袍赔	293	pw42	e2cd32a7f5b5de3af137ebef46e627a0	
𛊙	刻	294	khw5	9476b7685bc33311e16bad0b4bbf761b	
𛊚	弄东灯登冬低	295	lai44	699ffa1a6ebf4d63fd48db74fa36c5d3	
𛊛	辛心新	296	sai44	0c1ab5ea2dde1df980d35312a26fe00f	
𛊜	产减省嫂伞	299	sau35	f2ed5357128bd7bda0aee374960de9a0	
𛊝	愁沉尘陈撑曹遭至志智制治种证镇禁髻似穷勤琴芹	298	tsou42	c968a4854a024ed5ab5ae1ad99ea34fd	
𛊞	牛	301	ngou42	e9411ca7a0a22af0d52dbc9aae73eae8	
𛊟	酒	303	tsiou33	964f4713414fcfdba470bea2f8d0f097	
𛊠	咬	305	njiou13	da26c6da439647c836a8ae65c3be8fd5	
𛊡	法叔	304	ciou5	ab8d33f0216f59b077ed191eb1cf93e2	
𛊢	鱼由游油犹尤衙牙芽渔柔娥鹅吴	251	iou42	346af10162c9cbe743fa9ef8a60af677	
𛊣	英	306	yn44	a921df43e1bb3207043278c7cdeaf377	
𛊤	迟地赏同堂团塘童棠唐谈桃萄逃统	307	tang42	bb4a4a08a1255fc56e468f6d8ed9e5e5	
𛊥	郎狼朗短党挡当端断栋	201	lang42	3451d00b7c0158ddf631cdb6c6135d83	
𛊦	广管敢感赶馆	311	kang35	d83d806fb24cd44b3e3b7a973b483d18	
𛊧	糠欢荒汉换焕汗唤翰旱	308	hang44	f6bdc19007ee35bd1874d45f58f11696	
